f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 1. Obs: -0.996, Exp: -1.0
Evaluation Reward at Epoch 2. Obs: -0.98, Exp: -0.48
Evaluation Reward at Epoch 3. Obs: -0.996, Exp: 0.0
Evaluation Reward at Epoch 4. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 5. Obs: -0.976, Exp: -0.496
Evaluation Reward at Epoch 6. Obs: -0.988, Exp: -0.016
Evaluation Reward at Epoch 7. Obs: -0.988, Exp: 0.0
Evaluation Reward at Epoch 8. Obs: -0.976, Exp: 0.0
Evaluation Reward at Epoch 9. Obs: -1.0, Exp: -0.496
Evaluation Reward at Epoch 10. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 11. Obs: -0.992, Exp: -0.504
Evaluation Reward at Epoch 12. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 13. Obs: -0.992, Exp: -0.504
Evaluation Reward at Epoch 14. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 15. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 16. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 17. Obs: -0.992, Exp: -0.488
Evaluation Reward at Epoch 18. Obs: -0.992, Exp: -0.992
Evaluation Reward at Epoch 19. Obs: -0.996, Exp: -1.0
Evaluation Reward at Epoch 20. Obs: -0.996, Exp: -0.504
Evaluation Reward at Epoch 21. Obs: -0.988, Exp: -0.984
Evaluation Reward at Epoch 22. Obs: -0.996, Exp: 0.0
Evaluation Reward at Epoch 23. Obs: -0.996, Exp: -0.992
Evaluation Reward at Epoch 24. Obs: -0.992, Exp: -0.504
Evaluation Reward at Epoch 25. Obs: -0.992, Exp: -0.504
Evaluation Reward at Epoch 26. Obs: -1.0, Exp: -0.496
Evaluation Reward at Epoch 27. Obs: -0.988, Exp: -0.488
Evaluation Reward at Epoch 28. Obs: -0.996, Exp: 0.0
Evaluation Reward at Epoch 29. Obs: -0.996, Exp: -1.0
Evaluation Reward at Epoch 30. Obs: -0.996, Exp: -0.496
